date,weight,restingHR,hrv,hrvSDNN,readiness,sleepSecs,sleepScore,sleepQuality,avgSleepingHR,spO2,soreness,fatigue,stress,mood,motivation,injury,ctl,atl,rampRate,ctlLoad,atlLoad
2026-04-12,,,,,,,,,,,,,,,,,11.41286,16.320423,1.5059366,0.0,0.0
2026-04-11,58.0,73,,,,,,,,,,,,,,,11.687856,18.826668,1.9036512,37.0,37.0
2026-04-10,61.0,41,78.0,,,23280,84.0,2,,,,,,,,,11.077953,16.035881,1.6603765,0.0,0.0
2026-04-09,,47,53.0,,,20520,70.0,3,,,,,,,,,11.344879,18.49843,1.7003832,0.0,0.0
2026-04-08,,42,71.0,,,26677,90.0,1,,,,,,,,,11.618237,21.339142,1.741354,44.0,44.0
2026-04-07,,43,94.0,,,23940,82.0,2,,97.0,,,,,,,10.837991,17.859228,1.4459791,24.0,31.0
2026-04-06,58.0,42,74.0,,,24000,83.0,2,,,,,,,,,10.520849,15.841266,0.9025345,36.0,36.0
2026-04-05,,41,76.0,,,19080,72.0,3,,,,,,,,,9.906923,12.74559,0.056853294,15.0,15.0
2026-04-04,58.0,42,83.0,,,33000,94.0,1,,,,,,,,,9.7842045,12.399392,-0.3032055,25.0,25.0
2026-04-03,,48,59.0,,,27180,83.0,2,,,,,,,,,9.417577,10.46438,-0.9128914,0.0,0.0
2026-04-02,61.099,44,63.0,,,25500,85.0,2,,,,,,,,,9.644496,12.071342,-0.93488693,0.0,0.0
2026-04-01,58.0,44,71.0,,,26880,94.0,1,,,,,,,,,9.876883,13.925078,-0.49960327,30.0,30.0
2026-03-31,,44,69.0,,,20640,74.0,3,,,,,,,,,9.392012,11.456533,-0.36706924,0.0,0.0
2026-03-30,,43,73.0,,,24540,86.0,2,,,,,,,,,9.618315,13.215856,0.8047533,0.0,0.0
2026-03-29,62.099,41,92.0,,,27840,88.0,2,,,,,,,,,9.85007,15.245348,0.8241434,0.0,0.0
2026-03-28,,45,76.0,,,31740,90.0,1,,,,,,,,,10.08741,17.5865,2.337906,0.0,0.0
2026-03-27,62.4,44,68.0,,,29280,87.0,2,,,,,,,,,10.330468,20.28717,2.394238,0.0,0.0
2026-03-26,58.0,44,75.0,,,27420,89.0,2,,,,,,,,,10.579383,23.40257,3.1747842,19.0,19.0
2026-03-25,58.0,46,71.0,,,24060,85.0,2,,,,,,,,,10.376486,24.078651,2.7934713,36.0,36.0
2026-03-24,,41,83.0,,,29300,95.0,1,,,,,,,,,9.759081,22.24795,3.1740184,49.0,49.0
2026-03-23,,46,68.0,,,23460,78.0,3,,,,,,,,,8.813561,18.13977,2.5999255,0.0,0.0
2026-03-22,58.0,44,76.0,,,30060,87.0,2,,,,,,,,,9.025927,20.925404,3.0962858,62.0,62.0
2026-03-21,,45,70.0,,,31380,90.0,1,,,,,,,,,7.749504,14.617783,1.6769872,0.0,0.0
2026-03-20,58.0,45,68.0,,,24300,82.0,2,,,,,,,,,7.93623,16.862562,1.7173944,30.0,30.0
2026-03-19,58.0,46,67.0,,,21501,73.0,3,,,,,,,,,7.4045987,14.845112,1.4455376,0.0,0.0
2026-03-18,58.0,46,56.0,,,25140,80.0,2,,97.0,,,,,,,7.5830145,17.124802,1.4803686,49.0,49.0
2026-03-17,59.4,45,66.0,,,25200,82.0,2,,,,,,,,,6.5850625,12.229886,1.2028003,22.0,22.0
2026-03-16,59.299,45,69.0,,,24120,84.0,2,,,,,,,,,6.213636,10.729539,0.70168686,18.0,18.0
2026-03-15,59.798,46,72.0,,,23820,81.0,2,,,,,,,,,5.929641,9.61305,1.2245941,0.0,0.0
2026-03-14,,48,51.0,,,23940,62.0,3,,,,,,,,,6.072517,11.089278,1.2541013,0.0,0.0
